"","Journalnr.","Fisk nr.","År","Dato","Fangststed","Redskap","(mm)","Art","cm","g","K-faktor","Kjønn","Stadium","farge","Opphav","Merknad","otolitt","Alder","1.år","2.år","3.år","4.år","5.år","6.år","7.år","8.år","9.år","10 å","11år","12. år","13. år","14. år","NA","sodomi","sodomi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"64",34489,64,2009,40052,"STÅVATN  ","BG",26,"ØRRET",25.5,145,0.874475126459657,"HUNN",2,"R","FF",NA,4,4,7,15.5,20.5,23.5,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",34490,65,2009,40052,"STÅVATN  ","BG",26,"ØRRET",22,105,0.986100676183321,"HANN",2,"LR","FF",NA,NA,3,6.5,13,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",34491,66,2009,40052,"STÅVATN  ","BG",29,"ØRRET",28.2,250,1.11478902305598,"HANN",2,"R","VILL",NA,7,7,4,12,19,22,25.5,27.5,28.2,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",34492,67,2009,40052,"STÅVATN  ","BG",29,"ØRRET",30.9,293,0.993098171075836,"HANN",2,"R","VILL",NA,10,10,4.5,9,13,16,20,23,27.5,30.5,30.9,30.9,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",34493,68,2009,40052,"STÅVATN  ","BG",29,"ØRRET",30.1,249,0.91306114161758,"HANN",5,"R","VILL",NA,8.7,8,4,9.5,14.5,17.5,21,25.5,28.5,30,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",34494,69,2009,40052,"STÅVATN  ","BG",29,"ØRRET",19.6,75,0.996077314724307,"HANN",2,"LR","VILL",NA,4,4,4,9,13,16,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",34495,70,2009,40052,"STÅVATN  ","BG",29,"ØRRET",29.5,250,0.973809396286865,"HUNN",2,"R","FF",NA,6,6,6,10,15.5,20,24.5,27.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",34496,71,2009,40052,"STÅVATN  ","BG",29,"ØRRET",31.1,265,0.880977277069448,"HANN",2,"R","FF",NA,5,5,7,11.5,16.5,19.5,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",34497,72,2009,40052,"STÅVATN  ","BG",35,"ØRRET",32.9,350,0.982834404000372,"HANN",2,"R","VILL",NA,10,10,4,7.5,12.5,17.5,22.5,27.5,29,30,31.5,32.5,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",34498,73,2009,40052,"STÅVATN  ","BG",35,"ØRRET",32.1,310,0.937230895689497,"HANN",6,"R","VILL",NA,7,7,3,7,12.5,17,23.5,28,31,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",34499,74,2009,40052,"STÅVATN  ","BG",35,"ØRRET",32.4,370,1.08784418213875,"HUNN",5,"R","FF",NA,7,7,7,12,18,24,29,31,32,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",34500,75,2009,40052,"STÅVATN  ","BG",35,"ØRRET",19.5,78,1.05193951347798,"HANN",2,"LR","FF",NA,3,3,7,12.5,16.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",34501,76,2009,40052,"STÅVATN  ","BG",35,"ØRRET",20,85,1.0625,"HUNN",2,"LR","FF",NA,2,2,8.5,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
